# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       8.823181346555e-11       3.780326200193e-15       3.857856596933e-13       2.456533243317e-19       1.227305843860e-08      -1.163563669763e-10      -1.952053575308e-12 
    3       1.103026425890e-10       4.536925627528e-15       4.372845987922e-13       4.912863754816e-19       7.421188008921e-09      -1.531169008664e-10      -1.418875968638e-12 
    4       1.210309001031e-10       3.637286620764e-15       3.794784478412e-13       8.187714209072e-19       5.073854329166e-09      -1.427274928016e-10      -8.911029654642e-13 
    5       1.307664511179e-10       2.243927250980e-15       2.949371039763e-13       1.228097369245e-18       3.731494253319e-09      -1.240655936976e-10      -4.768046594541e-13 
    6       1.421789109031e-10       1.181663990301e-15       2.177602297144e-13       1.719263269353e-18       2.876160401999e-09      -1.044673207816e-10      -1.923869079575e-13 
    7       1.535468605923e-10       6.409062663282e-16       1.601488624462e-13       2.292285797627e-18       2.292461675217e-09      -8.720611295585e-11      -2.716872358871e-14 
    8       1.699862303200e-10       4.378391351115e-16       1.235354356890e-13       2.947207192846e-18       1.873780903650e-09      -7.580735705721e-11       4.421703126720e-14 
    9       1.829685764502e-10       3.582764037132e-16       1.045753035645e-13       3.684103152852e-18       1.561811366604e-09      -6.919510713999e-11       5.258309720772e-14 
   10       2.029935088658e-10       3.034946122656e-16       9.824422372117e-14       4.503090193167e-18       1.322456474267e-09      -6.214077984398e-11       2.757993844515e-14 
   11       2.204533390012e-10       2.635253988452e-16       9.967477072198e-14       5.404331978474e-18       1.121382976744e-09      -5.143978530991e-11      -6.331434259334e-15 
   12       2.386955279310e-10       2.475142780672e-16       1.050155586015e-13       6.388044173449e-18       9.733573991597e-10      -4.332576740587e-11      -3.458912524335e-14 
   13       2.644701744998e-10       2.521511046843e-16       1.117213105679e-13       7.454497418448e-18       8.525691428009e-10      -3.988751416374e-11      -4.963469408464e-14 
   14       2.774354764474e-10       2.685042658895e-16       1.186157154695e-13       8.604018115615e-18       7.526551463185e-10      -3.981922670140e-11      -5.113378540725e-14 
   15       3.059457195698e-10       2.944254017920e-16       1.254753804471e-13       9.836986808539e-18       6.690264587322e-10      -3.704766858245e-11      -4.287444395107e-14 
   16       3.270088130172e-10       3.347851331193e-16       1.325207459137e-13       1.115383404947e-17       5.983024006318e-10      -3.112236580444e-11      -3.049566994894e-14 
   17       3.424768952675e-10       3.943392636705e-16       1.402762057183e-13       1.255503376735e-17       5.379446665594e-10      -2.488728389925e-11      -1.913173699840e-14 
   18       3.611943074292e-10       4.736384182730e-16       1.490654320042e-13       1.404109563442e-17       4.858190434722e-10      -2.368930498045e-11      -1.196211825290e-14 
   19       3.857984374508e-10       5.716882635493e-16       1.588947344449e-13       1.561254714916e-17       4.410114073383e-10      -2.558221367043e-11      -9.480032632238e-15 
   20       4.162837079669e-10       6.866842796434e-16       1.695554410858e-13       1.726993542845e-17       4.017301965397e-10      -2.559592554036e-11      -1.090558843102e-14 
   21       4.459388619340e-10       8.183665358742e-16       1.805982479127e-13       1.901379437706e-17       3.673076132815e-10      -2.245857428885e-11      -1.445551881762e-14 
   22       4.659621072254e-10       9.667225900719e-16       1.914199922638e-13       2.084464806587e-17       3.368702000905e-10      -1.689879093647e-11      -1.775694250655e-14 
   23       4.759621631269e-10       1.131682341635e-15       2.016289372680e-13       2.276297784579e-17       3.099769960479e-10      -1.307159030082e-11      -1.959560009172e-14 
   24       4.793431732551e-10       1.313323643906e-15       2.109092699095e-13       2.476922608458e-17       2.859795504491e-10      -1.521916157829e-11      -1.927636098143e-14 
   25       4.816368498383e-10       1.513345658494e-15       2.191745294195e-13       2.686376686224e-17       2.645287679620e-10      -1.892999700599e-11      -1.731242776614e-14 
   26       4.885124075013e-10       1.734015172148e-15       2.264451072931e-13       2.904690790934e-17       2.451819949387e-10      -1.760539963134e-11      -1.469882043442e-14 
   27       4.986008435820e-10       1.976936106490e-15       2.328109670194e-13       3.131886523664e-17       2.278248052600e-10      -1.240038131202e-11      -1.206330153958e-14 
   28       5.074312365869e-10       2.243558305858e-15       2.384295338277e-13       3.367976790019e-17       2.122322302717e-10      -7.734449248395e-12      -1.003372195883e-14 
   29       5.107098346720e-10       2.535269788571e-15       2.434628522824e-13       3.612965790554e-17       1.980072957954e-10      -7.871918843955e-12      -9.195634166316e-15 
   30       5.101885846542e-10       2.852956271704e-15       2.478512421709e-13       3.866849215031e-17       1.850623730959e-10      -1.139761652400e-11      -9.374928015788e-15 
   31       5.101889984722e-10       3.197249375753e-15       2.514483886946e-13       4.129612729773e-17       1.732934476503e-10      -1.448478965607e-11      -1.005697617636e-14 
   32       5.145336245170e-10       3.568731226647e-15       2.540876100278e-13       4.401232582712e-17       1.625045181699e-10      -1.350900692843e-11      -1.067158246921e-14 
   33       5.207166676286e-10       3.968308618275e-15       2.556222664387e-13       4.681680812227e-17       1.526308610428e-10      -9.583433251703e-12      -1.100214922648e-14 
   34       5.235073661021e-10       4.396967601764e-15       2.558970615344e-13       4.970920790255e-17       1.435790165836e-10      -5.726753777436e-12      -1.091930169347e-14 
   35       5.180913776617e-10       4.855668892903e-15       2.547705128098e-13       5.268909229325e-17       1.352071223457e-10      -4.839832959788e-12      -1.033149731933e-14 
   36       5.060206958428e-10       5.345330254707e-15       2.522342594171e-13       5.575610031279e-17       1.274898557748e-10      -6.589361202234e-12      -9.386362525650e-15 
   37       4.913410220631e-10       5.866833827959e-15       2.483360572159e-13       5.890984568609e-17       1.203999356521e-10      -9.448641433015e-12      -8.343028351735e-15 
   38       4.791018753292e-10       6.421027409916e-15       2.431503950594e-13       6.214987682733e-17       1.138583802683e-10      -1.148736463765e-11      -7.524274684424e-15 
   39       4.739024089221e-10       7.008714944042e-15       2.367480102546e-13       6.547573405848e-17       1.077622124154e-10      -1.093118852367e-11      -7.224821947831e-15 
   40       4.747682459310e-10       7.630630542883e-15       2.290877026835e-13       6.888715109556e-17       1.020904747991e-10      -8.137997153579e-12      -7.388153634904e-15 
   41       4.786406625644e-10       8.287451164256e-15       2.200905404171e-13       7.238391788938e-17       9.682642423564e-11      -4.248728071023e-12      -7.826675751189e-15 
   42       4.816995113133e-10       8.979799565004e-15       2.096681884741e-13       7.596582864569e-17       9.192596232142e-11      -6.746440411750e-13      -8.305210957772e-15 
   43       4.804260628325e-10       9.708243572197e-15       1.977348952444e-13       7.963273037775e-17       8.733345853670e-11       1.254056527417e-12      -8.599566044890e-15 
   44       4.753033388651e-10       1.047330122532e-14       1.842496353412e-13       8.338468196426e-17       8.304053038099e-11       1.513530941679e-12      -8.701286804656e-15 
   45       4.681871718758e-10       1.127543182969e-14       1.691858850866e-13       8.722184802412e-17       7.904173811921e-11       5.144529727778e-13      -8.671602233454e-15 
   46       4.613157060895e-10       1.211503065697e-14       1.525201315369e-13       9.114446143832e-17       7.531696495649e-11      -1.226948016196e-12      -8.586182118627e-15 
   47       4.573308770451e-10       1.299242589837e-14       1.342319522230e-13       9.515282827177e-17       7.183027938923e-11      -3.082540708514e-12      -8.535985244878e-15 
   48       4.584990825935e-10       1.390790820290e-14       1.143007227408e-13       9.924732564826e-17       6.854076028406e-11      -4.455900594881e-12      -8.604669958959e-15 
   49       4.640633005993e-10       1.486183624768e-14       9.269445599066e-14       1.034283831833e-16       6.544123498843e-11      -5.275814021010e-12      -8.791316903680e-15 
   50       4.721814699265e-10       1.585455569184e-14       6.937795385932e-14       1.076965047736e-16       6.252850641055e-11      -5.630983126376e-12      -9.067380082679e-15 
   51       4.806432298011e-10       1.688636783930e-14       4.431581465180e-14       1.120522796366e-16       5.979182936276e-11      -5.633488852938e-12      -9.397883563585e-15 
   52       4.868505417856e-10       1.795752825454e-14       1.747234078336e-14       1.164963868726e-16       5.721238325592e-11      -5.420095354992e-12      -9.741073886378e-15 
   53       4.885030503964e-10       1.906823180372e-14      -1.118313715609e-14       1.210295043616e-16       5.476904142065e-11      -5.124029249930e-12      -1.005628767012e-14 
   54       4.859056722978e-10       2.021856644911e-14      -4.165846846136e-14       1.256519974476e-16       5.245863455102e-11      -4.778795295214e-12      -1.033072967638e-14 
   55       4.802206140562e-10       2.140854516055e-14      -7.395206006189e-14       1.303641581530e-16       5.027997884230e-11      -4.391900999802e-12      -1.055897473093e-14 
   56       4.728245146434e-10       2.263811654042e-14      -1.080577606729e-13       1.351662943757e-16       4.822777808455e-11      -3.972281824647e-12      -1.073535217887e-14 
   57       4.653186162013e-10       2.390716287016e-14      -1.439647260020e-13       1.400587304403e-16       4.629236036654e-11      -3.530367640387e-12      -1.085394274575e-14 
   58       4.595389348062e-10       2.521549815675e-14      -1.816572839555e-13       1.450418076489e-16       4.445941477962e-11      -3.078149185043e-12      -1.090857539864e-14 
   59       4.570884831485e-10       2.656283331054e-14      -2.211197617641e-13       1.501157765663e-16       4.271385917338e-11      -2.628158471142e-12      -1.089530218013e-14 
   60       4.577839840036e-10       2.794866667204e-14      -2.623525825534e-13       1.552804434131e-16       4.105309030011e-11      -2.189982569537e-12      -1.082050098057e-14 
   61       4.608657716966e-10       2.937236456450e-14      -3.053596752913e-13       1.605354423823e-16       3.947635087851e-11      -1.773056238087e-12      -1.069465226742e-14 
   62       4.654381161431e-10       3.083318892225e-14      -3.501438742669e-13       1.658803336301e-16       3.798074835101e-11      -1.387705824852e-12      -1.053010577073e-14 
   63       4.704631919833e-10       3.233029422307e-14      -3.967069524978e-13       1.713146001567e-16       3.656113162329e-11      -1.045178910513e-12      -1.034116134343e-14 
   64       4.747550477166e-10       3.386272442043e-14      -4.450496551374e-13       1.768376446874e-16       3.520996780383e-11      -7.576739507872e-13      -1.014414982146e-14 
   65       4.772559861610e-10       3.542951620446e-14      -4.951682421839e-13       1.824488148218e-16       3.391937962586e-11      -5.351202230509e-13      -9.954171215490e-15 
   66       4.779472841958e-10       3.703004109308e-14      -5.470431905461e-13       1.881474916773e-16       3.268803609458e-11      -3.746584562466e-13      -9.774324754927e-15 
   67       4.771211368583e-10       3.866373052016e-14      -6.006481519197e-13       1.939330144987e-16       3.151550513224e-11      -2.689787864712e-13      -9.604335759294e-15 
   68       4.751170989485e-10       4.032997580804e-14      -6.559531693195e-13       1.998046517620e-16       3.040016001706e-11      -2.093137583587e-13      -9.443684638120e-15 
   69       4.723239537813e-10       4.202812807411e-14      -7.129246128453e-13       2.057615988460e-16       2.933911656142e-11      -1.853770669157e-13      -9.291594249915e-15 
   70       4.691815819381e-10       4.375749813732e-14      -7.715251154468e-13       2.118029757041e-16       2.832817029008e-11      -1.853022993583e-13      -9.147017261154e-15 
   71       4.661828300188e-10       4.551735642476e-14      -8.317135086890e-13       2.179278245363e-16       2.736173361838e-11      -1.955816769477e-13      -9.008623505255e-15 
   72       4.637671376510e-10       4.730688017700e-14      -8.934499068395e-13       2.241353021052e-16       2.643425078784e-11      -2.038928432276e-13      -8.875249611319e-15 
   73       4.619736272943e-10       4.912498353965e-14      -9.567122316727e-13       2.304253045980e-16       2.554489670710e-11      -2.083435331542e-13      -8.747375898987e-15 
   74       4.607244921354e-10       5.097045453717e-14      -1.021482758287e-12       2.367979590574e-16       2.469367072378e-11      -2.098989765933e-13      -8.625911449077e-15 
   75       4.599267454440e-10       5.284200360968e-14      -1.087743300230e-12       2.432534414447e-16       2.387997019478e-11      -2.096556810536e-13      -8.511754900856e-15 
   76       4.594716180514e-10       5.473826231628e-14      -1.155475262805e-12       2.497919787547e-16       2.310256140322e-11      -2.088461106550e-13      -8.405792365134e-15 
   77       4.592339558304e-10       5.665778203839e-14      -1.224659696379e-12       2.564138511320e-16       2.235955047539e-11      -2.088433650974e-13      -8.308895337343e-15 
   78       4.590716171740e-10       5.859903268306e-14      -1.295277349689e-12       2.631193939864e-16       2.164835429774e-11      -2.111658586294e-13      -8.221918610627e-15 
   79       4.588248704747e-10       6.056040138629e-14      -1.367308723148e-12       2.699090001085e-16       2.096567143381e-11      -2.174819990165e-13      -8.145698188922e-15 
   80       4.583551444818e-10       6.254025030355e-14      -1.440728583645e-12       2.767831715782e-16       2.030829054046e-11      -2.293096114011e-13      -8.080745181854e-15 
   81       4.576703549880e-10       6.453710439197e-14      -1.515488294628e-12       2.837426812166e-16       1.967574128247e-11      -2.470438009236e-13      -8.026270859596e-15 
   82       4.568203451243e-10       6.654949402515e-14      -1.591530500300e-12       2.907884431660e-16       1.906805285557e-11      -2.707680139358e-13      -7.980987680690e-15 
   83       4.558595899247e-10       6.857589860309e-14      -1.668794343074e-12       2.979214685789e-16       1.848494401296e-11      -3.005433390946e-13      -7.943390673943e-15 
   84       4.548473225621e-10       7.061474634977e-14      -1.747215414312e-12       3.051428686559e-16       1.792580949148e-11      -3.364075334579e-13      -7.911749721550e-15 
   85       4.538476605851e-10       7.266441411065e-14      -1.826725705070e-12       3.124538576831e-16       1.738970643782e-11      -3.783740485808e-13      -7.884101842210e-15 
   86       4.529297321535e-10       7.472322715023e-14      -1.907253556838e-12       3.198557560703e-16       1.687534083475e-11      -4.264310566119e-13      -7.858243474248e-15 
   87       4.521678022753e-10       7.678945894955e-14      -1.988723612280e-12       3.273499933885e-16       1.638105392727e-11      -4.805404763896e-13      -7.831722758730e-15 
   88       4.516413990423e-10       7.886133100373e-14      -2.071056765980e-12       3.349381114077e-16       1.590480864890e-11      -5.406369995379e-13      -7.801831822587e-15 
   89       4.514175026302e-10       8.093703817721e-14      -2.154176753334e-12       3.426214881835e-16       1.544466878931e-11      -6.062645820203e-13      -7.766175919141e-15 
   90       4.514936351524e-10       8.301482976901e-14      -2.238031209126e-12       3.504004540926e-16       1.500035222794e-11      -6.754226918580e-13      -7.724499988171e-15 
   91       4.518460345063e-10       8.509294085011e-14      -2.322573836969e-12       3.582750420835e-16       1.457189747725e-11      -7.455364389901e-13      -7.677135738945e-15 
   92       4.524466563912e-10       8.716956801564e-14      -2.407758114719e-12       3.662452531588e-16       1.415918652587e-11      -8.137966825579e-13      -7.624451212064e-15 
   93       4.532630318218e-10       8.924286956534e-14      -2.493537344660e-12       3.743110552336e-16       1.376193864672e-11      -8.771536257719e-13      -7.566851704635e-15 
   94       4.542581246423e-10       9.131096568391e-14      -2.579864703696e-12       3.824723819944e-16       1.337970420513e-11      -9.323104107790e-13      -7.504780695451e-15 
   95       4.553901890392e-10       9.337193862150e-14      -2.666693293540e-12       3.907291317577e-16       1.301185846691e-11      -9.757167135293e-13      -7.438720770168e-15 
   96       4.566126270558e-10       9.542383287408e-14      -2.753976190906e-12       3.990811663289e-16       1.265759540646e-11      -1.003562338643e-12      -7.369194546482e-15 
   97       4.578738461051e-10       9.746465536388e-14      -2.841666497695e-12       4.075283098607e-16       1.231592151489e-11      -1.011770814280e-12      -7.296765599307e-15 
   98       4.591171164836e-10       9.949237561977e-14      -2.929717391189e-12       4.160703477125e-16       1.198564960808e-11      -9.959929870009e-13      -7.222039385952e-15 
   99       4.602942070564e-10       1.015049724550e-13      -3.018078131768e-12       4.247071159029e-16       1.166566797198e-11      -9.528899184424e-13      -7.145588345109e-15 
  100       4.614088040603e-10       1.035005811543e-13      -3.106681332366e-12       4.334387863948e-16       1.135580468100e-11      -8.842027575901e-13      -7.067713088716e-15 
  101       4.624790061132e-10       1.054773675666e-13      -3.195453970693e-12       4.422656202866e-16       1.105607476970e-11      -7.932501138141e-13      -6.988648946320e-15 
  102       4.635241189079e-10       1.074334842023e-13      -3.284321272011e-12       4.511878807801e-16       1.076641299900e-11      -6.836992894434e-13      -6.908638779615e-15 
  103       4.645646797336e-10       1.093670709775e-13      -3.373206710329e-12       4.602058331371e-16       1.048667100175e-11      -5.595755025329e-13      -6.827932988509e-15 
  104       4.656224819979e-10       1.112762559578e-13      -3.462032009588e-12       4.693197446362e-16       1.021661442823e-11      -4.252711096316e-13      -6.746789517198e-15 
  105       4.667205997481e-10       1.131591561023e-13      -3.550717144855e-12       4.785298845301e-16       9.955920091638e-12      -2.855548285503e-13      -6.665473860242e-15 
  106       4.678834121934e-10       1.150138780078e-13      -3.639180343511e-12       4.878365240019e-16       9.704173113678e-12      -1.455809611288e-13      -6.584259068631e-15 
  107       4.691366282264e-10       1.168385186526e-13      -3.727338086443e-12       4.972399361224e-16       9.460864070023e-12      -1.089861600441e-14      -6.503425755861e-15 
  108       4.705073109448e-10       1.186311661408e-13      -3.815105109232e-12       5.067403958066e-16       9.225386135865e-12       1.125390686211e-13      -6.423262104006e-15 
  109       4.720239021732e-10       1.203899004460e-13      -3.902394403347e-12       5.163381797708e-16       8.997032231429e-12       2.183657022134e-13      -6.344063869789e-15 
  110       4.737102788896e-10       1.221128413053e-13      -3.989120255803e-12       5.260337470083e-16       8.775152910443e-12       3.012197017883e-13      -6.266101855911e-15 
  111       4.755670053750e-10       1.237982972711e-13      -4.075207807746e-12       5.358283065604e-16       8.559659115289e-12       3.612245218446e-13      -6.189519580563e-15 
  112       4.775877164751e-10       1.254446372156e-13      -4.160584727076e-12       5.457233226650e-16       8.350578720977e-12       4.000672042626e-13      -6.114422462270e-15 
  113       4.797648374729e-10       1.270502460802e-13      -4.245178310029e-12       5.557203424443e-16       8.147900283709e-12       4.196271000538e-13      -6.040908873867e-15 
  114       4.820895499566e-10       1.286135260824e-13      -4.328915512227e-12       5.658209976360e-16       7.951571766184e-12       4.219806739412e-13      -5.969069828813e-15 
  115       4.845517576866e-10       1.301328979235e-13      -4.411722979728e-12       5.760270063238e-16       7.761499262902e-12       4.094063089394e-13      -5.898988667517e-15 
  116       4.871400524628e-10       1.316068019962e-13      -4.493527080083e-12       5.863401746688e-16       7.577545725471e-12       3.843891109347e-13      -5.830740743653e-15 
  117       4.898416799915e-10       1.330336995915e-13      -4.574253933385e-12       5.967623986406e-16       7.399529687906e-12       3.496257132656e-13      -5.764393110485e-15 
  118       4.926425057533e-10       1.344120741066e-13      -4.653829443321e-12       6.072956657477e-16       7.227223991942e-12       3.080290813028e-13      -5.700004207185e-15 
  119       4.955269808695e-10       1.357404322519e-13      -4.732179328229e-12       6.179420567691e-16       7.060354512329e-12       2.627333170295e-13      -5.637623545154e-15 
  120       4.984781079699e-10       1.370173052588e-13      -4.809229152145e-12       6.287037474849e-16       6.898598882146e-12       2.170984636213e-13      -5.577291394343e-15 
  121       5.014774070599e-10       1.382412500869e-13      -4.884904355857e-12       6.395830104075e-16       6.741585218097e-12       1.747153100270e-13      -5.519038469572e-15 
  122       5.045048813876e-10       1.394108506312e-13      -4.959130287960e-12       6.505822165127e-16       6.588890845822e-12       1.394101955483e-13      -5.462885616851e-15 
  123       5.075435426786e-10       1.405247663583e-13      -5.031833481124e-12       6.617034577991e-16       6.440132824540e-12       1.144151308153e-13      -5.408817024658e-15 
  124       5.105936481933e-10       1.415818819681e-13      -5.102945580779e-12       6.729473621833e-16       6.295254011751e-12       9.975997482345e-14      -5.356697041217e-15 
  125       5.136600425398e-10       1.425811772806e-13      -5.172399928393e-12       6.843141450858e-16       6.154267612952e-12       9.458832583843e-14      -5.306343165374e-15 
  126       5.167477465242e-10       1.435216829126e-13      -5.240130397098e-12       6.958039751688e-16       6.017167779087e-12       9.796362661546e-14      -5.257551149103e-15 
  127       5.198619588903e-10       1.444024818571e-13      -5.306071432550e-12       7.074169730834e-16       5.883929054116e-12       1.088674018385e-13      -5.210094475524e-15 
  128       5.230080580594e-10       1.452227110651e-13      -5.370158093769e-12       7.191532102179e-16       5.754505822581e-12       1.261974955597e-13      -5.163723836921e-15 
  129       5.261916038691e-10       1.459815630253e-13      -5.432326093997e-12       7.310127074451e-16       5.628831757169e-12       1.487663086384e-13      -5.118166612763e-15 
  130       5.294183393135e-10       1.466782873450e-13      -5.492511841541e-12       7.429954338701e-16       5.506819266277e-12       1.752990361811e-13      -5.073126347723e-15 
  131       5.326941922824e-10       1.473121923307e-13      -5.550652480626e-12       7.551013055784e-16       5.388358941580e-12       2.044319049800e-13      -5.028282229698e-15 
