# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.322853740904e-10       3.746483624540e-15       3.301995281540e-13       0.000000000000e+00 
    3       1.256021179742e-10       4.478394580074e-15       3.618353819360e-13       0.000000000000e+00 
    4       1.191719910105e-10       3.592424274804e-15       3.302166378098e-13       0.000000000000e+00 
    5       1.144029686588e-10       2.221141923229e-15       2.748093999645e-13       0.000000000000e+00 
    6       1.111888382609e-10       1.179119318400e-15       2.169387239279e-13       0.000000000000e+00 
    7       1.092151811205e-10       6.502562879458e-16       1.682223423388e-13       0.000000000000e+00 
    8       1.080951923680e-10       4.496732938703e-16       1.329816137405e-13       0.000000000000e+00 
    9       1.076459826718e-10       3.655727707854e-16       1.112567618587e-13       0.000000000000e+00 
   10       1.077065288615e-10       3.029550080924e-16       1.008399506500e-13       0.000000000000e+00 
   11       1.081177247052e-10       2.553066994516e-16       9.873713629732e-14       0.000000000000e+00 
   12       1.088613851931e-10       2.339916294857e-16       1.020117515039e-13       0.000000000000e+00 
   13       1.098122982836e-10       2.363912663948e-16       1.082508108138e-13       0.000000000000e+00 
   14       1.109045554948e-10       2.530028674751e-16       1.158779074480e-13       0.000000000000e+00 
   15       1.121836186600e-10       2.804372616507e-16       1.240423064207e-13       0.000000000000e+00 
   16       1.136115525787e-10       3.222900866344e-16       1.323647287590e-13       0.000000000000e+00 
   17       1.151164290726e-10       3.824169532220e-16       1.409850379437e-13       0.000000000000e+00 
   18       1.167188256372e-10       4.609700147561e-16       1.500984605002e-13       0.000000000000e+00 
   19       1.184271393491e-10       5.571015467716e-16       1.597838422677e-13       0.000000000000e+00 
   20       1.201847993595e-10       6.694445253082e-16       1.700162643017e-13       0.000000000000e+00 
   21       1.220065437387e-10       7.982475567890e-16       1.805591047187e-13       0.000000000000e+00 
   22       1.238973620226e-10       9.440542662156e-16       1.910432359857e-13       0.000000000000e+00 
   23       1.258443172930e-10       1.106953698329e-15       2.011519814698e-13       0.000000000000e+00 
   24       1.278122934762e-10       1.286986477188e-15       2.105675464544e-13       0.000000000000e+00 
   25       1.298193318921e-10       1.485546489251e-15       2.190944990260e-13       0.000000000000e+00 
   26       1.318838748547e-10       1.704530616631e-15       2.266119607810e-13       0.000000000000e+00 
   27       1.340037135087e-10       1.945579440713e-15       2.331960135371e-13       0.000000000000e+00 
   28       1.361604977887e-10       2.210219786472e-15       2.389920008377e-13       0.000000000000e+00 
   29       1.383549646726e-10       2.499539972414e-15       2.440264494532e-13       0.000000000000e+00 
   30       1.405809179185e-10       2.814437426200e-15       2.482990245490e-13       0.000000000000e+00 
   31       1.428225411053e-10       3.155759223767e-15       2.517943564813e-13       0.000000000000e+00 
   32       1.450855160567e-10       3.524445306991e-15       2.543886298169e-13       0.000000000000e+00 
   33       1.473751103724e-10       3.921429244602e-15       2.559048754884e-13       0.000000000000e+00 
   34       1.496898682579e-10       4.347608832033e-15       2.561651698747e-13       0.000000000000e+00 
   35       1.520318990210e-10       4.803888871753e-15       2.550967464887e-13       0.000000000000e+00 
   36       1.543985043014e-10       5.291147032485e-15       2.526626716564e-13       0.000000000000e+00 
   37       1.567831729947e-10       5.810204784291e-15       2.488397273477e-13       0.000000000000e+00 
   38       1.591914234664e-10       6.361777956123e-15       2.436364871176e-13       0.000000000000e+00 
   39       1.616290877370e-10       6.946502759701e-15       2.370826515662e-13       0.000000000000e+00 
   40       1.640974104205e-10       7.564943151532e-15       2.292254909576e-13       0.000000000000e+00 
   41       1.665944589383e-10       8.217662216454e-15       2.201045763943e-13       0.000000000000e+00 
   42       1.691211477701e-10       8.905475253873e-15       2.096636945853e-13       0.000000000000e+00 
   43       1.716763060485e-10       9.629271386353e-15       1.978119286862e-13       0.000000000000e+00 
   44       1.742545431706e-10       1.038994535526e-14       1.844466463909e-13       0.000000000000e+00 
   45       1.768492368884e-10       1.118829737886e-14       1.694698983531e-13       0.000000000000e+00 
   46       1.794634683812e-10       1.202469555984e-14       1.528453752608e-13       0.000000000000e+00 
   47       1.821017026840e-10       1.289931360885e-14       1.345570958524e-13       0.000000000000e+00 
   48       1.847665150254e-10       1.381221779950e-14       1.145938475140e-13       0.000000000000e+00 
   49       1.874584007767e-10       1.476336178719e-14       9.294936456739e-14       0.000000000000e+00 
   50       1.901766640743e-10       1.575269633581e-14       6.961623435230e-14       0.000000000000e+00 
   51       1.929228089618e-10       1.678054563060e-14       4.456525179679e-14       0.000000000000e+00 
   52       1.956977402213e-10       1.784732415517e-14       1.776076905876e-14       0.000000000000e+00 
   53       1.985006291672e-10       1.895343093207e-14      -1.083363616362e-14       0.000000000000e+00 
   54       2.013287743563e-10       2.009924974908e-14      -4.125527750739e-14       0.000000000000e+00 
   55       2.041790656654e-10       2.128505244471e-14      -7.353421316766e-14       0.000000000000e+00 
   56       2.070531215329e-10       2.251068011155e-14      -1.076661678438e-13       0.000000000000e+00 
   57       2.099531839421e-10       2.377578309323e-14      -1.436330887400e-13       0.000000000000e+00 
   58       2.128805517188e-10       2.507990751312e-14      -1.814106192375e-13       0.000000000000e+00 
   59       2.158355037114e-10       2.642249172358e-14      -2.209678938099e-13       0.000000000000e+00 
   60       2.188172219695e-10       2.780286275534e-14      -2.622673329382e-13       0.000000000000e+00 
   61       2.218246382607e-10       2.922031829563e-14      -3.052741310212e-13       0.000000000000e+00 
   62       2.248593694454e-10       3.067440215786e-14      -3.499876727038e-13       0.000000000000e+00 
   63       2.279233076573e-10       3.216468462470e-14      -3.964168364466e-13       0.000000000000e+00 
   64       2.310177085248e-10       3.369068155515e-14      -4.445710242242e-13       0.000000000000e+00 
   65       2.341431436469e-10       3.525185354761e-14      -4.944602639924e-13       0.000000000000e+00 
   66       2.372994530698e-10       3.684760510295e-14      -5.460953121542e-13       0.000000000000e+00 
   67       2.404856977626e-10       3.847728378763e-14      -5.994877560260e-13       0.000000000000e+00 
   68       2.437008007298e-10       4.014016216070e-14      -6.546433703839e-13       0.000000000000e+00 
   69       2.469457274264e-10       4.183538117306e-14      -7.115403948927e-13       0.000000000000e+00 
   70       2.502216638082e-10       4.356199374321e-14      -7.701470189636e-13       0.000000000000e+00 
   71       2.535293374119e-10       4.531897972383e-14      -8.304276694188e-13       0.000000000000e+00 
   72       2.568689874432e-10       4.710524462399e-14      -8.923429404276e-13       0.000000000000e+00 
   73       2.602403348653e-10       4.891961833146e-14      -9.558495234435e-13       0.000000000000e+00 
   74       2.636425524871e-10       5.076085383496e-14      -1.020900137140e-12       0.000000000000e+00 
   75       2.670742350517e-10       5.262762594643e-14      -1.087443457348e-12       0.000000000000e+00 
   76       2.705340649490e-10       5.451856755392e-14      -1.155428583084e-12       0.000000000000e+00 
   77       2.740230156244e-10       5.643238883687e-14      -1.224819529741e-12       0.000000000000e+00 
   78       2.775424974957e-10       5.836777756990e-14      -1.295583263786e-12       0.000000000000e+00 
   79       2.810936825798e-10       6.032336302095e-14      -1.367685423717e-12       0.000000000000e+00 
   80       2.846774888459e-10       6.229771544308e-14      -1.441090343008e-12       0.000000000000e+00 
   81       2.882945645676e-10       6.428934556638e-14      -1.515761073068e-12       0.000000000000e+00 
   82       2.919452726758e-10       6.629670408982e-14      -1.591659406189e-12       0.000000000000e+00 
   83       2.956296751116e-10       6.831818117311e-14      -1.668745898501e-12       0.000000000000e+00 
   84       2.993476761533e-10       7.035212860833e-14      -1.746978619139e-12       0.000000000000e+00 
   85       3.030995139735e-10       7.239693167091e-14      -1.826309109204e-12       0.000000000000e+00 
