# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       8.201270286058e-11       3.774156984117e-15       3.850808636671e-13       0.000000000000e+00 
    3       9.775907594049e-11       4.534620197776e-15       4.368602972360e-13       0.000000000000e+00 
    4       1.016984240792e-10       3.638721005418e-15       3.792874832208e-13       0.000000000000e+00 
    5       1.021411516832e-10       2.246370583457e-15       2.949155717293e-13       0.000000000000e+00 
    6       1.019759552716e-10       1.182770234847e-15       2.178385054546e-13       0.000000000000e+00 
    7       1.019677709508e-10       6.399883986338e-16       1.602514046532e-13       0.000000000000e+00 
    8       1.022234110236e-10       4.354707332793e-16       1.236139945930e-13       0.000000000000e+00 
    9       1.027813805905e-10       3.550481368411e-16       1.046111339380e-13       0.000000000000e+00 
   10       1.035978195226e-10       2.994813725100e-16       9.823908073376e-14       0.000000000000e+00 
   11       1.045824701627e-10       2.585323300829e-16       9.964772944751e-14       0.000000000000e+00 
   12       1.057755635289e-10       2.414214309419e-16       1.049826599318e-13       0.000000000000e+00 
   13       1.071063429463e-10       2.449708332743e-16       1.117008517510e-13       0.000000000000e+00 
   14       1.085275276455e-10       2.602225045081e-16       1.186156716972e-13       0.000000000000e+00 
   15       1.100799061815e-10       2.849610173491e-16       1.254850117113e-13       0.000000000000e+00 
   16       1.117318060095e-10       3.239883271435e-16       1.325561366796e-13       0.000000000000e+00 
   17       1.134131973356e-10       3.820700321494e-16       1.403039813303e-13       0.000000000000e+00 
   18       1.152010764734e-10       4.600398989924e-16       1.490715264870e-13       0.000000000000e+00 
   19       1.170209710164e-10       5.563195928779e-16       1.589013296330e-13       0.000000000000e+00 
   20       1.188916513903e-10       6.696516939019e-16       1.695624717267e-13       0.000000000000e+00 
   21       1.208329176883e-10       7.997368805408e-16       1.805721405841e-13       0.000000000000e+00 
   22       1.227902540628e-10       9.464479087452e-16       1.914053096796e-13       0.000000000000e+00 
   23       1.248113739263e-10       1.109577693965e-15       2.015823888023e-13       0.000000000000e+00 
   24       1.268244501849e-10       1.289386374062e-15       2.108799315976e-13       0.000000000000e+00 
   25       1.289453010955e-10       1.487370570802e-15       2.191371344041e-13       0.000000000000e+00 
   26       1.310760511537e-10       1.705866172292e-15       2.263561748331e-13       0.000000000000e+00 
   27       1.332141049669e-10       1.946790290867e-15       2.327971014280e-13       0.000000000000e+00 
   28       1.354283945526e-10       2.211477286616e-15       2.384672218664e-13       0.000000000000e+00 
   29       1.375962606403e-10       2.501030932570e-15       2.435333993304e-13       0.000000000000e+00 
   30       1.398832714154e-10       2.816363557998e-15       2.479716970694e-13       0.000000000000e+00 
   31       1.421611342694e-10       3.158224316793e-15       2.515371136544e-13       0.000000000000e+00 
   32       1.444203777647e-10       3.527405112259e-15       2.542299838861e-13       0.000000000000e+00 
   33       1.467898141668e-10       3.924755068014e-15       2.557214854889e-13       0.000000000000e+00 
   34       1.490879400575e-10       4.351077593953e-15       2.559290623651e-13       0.000000000000e+00 
   35       1.514782035380e-10       4.807323745693e-15       2.548613653211e-13       0.000000000000e+00 
   36       1.539061818554e-10       5.294559513118e-15       2.522612995909e-13       0.000000000000e+00 
   37       1.562838752185e-10       5.813847091216e-15       2.483498846961e-13       0.000000000000e+00 
   38       1.587774824266e-10       6.365868250172e-15       2.431722304091e-13       0.000000000000e+00 
   39       1.612393773667e-10       6.951040244487e-15       2.366321700268e-13       0.000000000000e+00 
   40       1.636985435815e-10       7.570331094463e-15       2.289191400765e-13       0.000000000000e+00 
   41       1.662554133444e-10       8.224477872131e-15       2.198959296359e-13       0.000000000000e+00 
   42       1.687762014671e-10       8.913729436357e-15       2.094955559325e-13       0.000000000000e+00 
   43       1.713219718727e-10       9.638884485092e-15       1.977388326470e-13       0.000000000000e+00 
   44       1.739452667946e-10       1.040055227279e-14       1.843374682069e-13       0.000000000000e+00 
   45       1.765205830713e-10       1.119931425242e-14       1.692852869867e-13       0.000000000000e+00 
   46       1.791576061923e-10       1.203639728164e-14       1.525923284987e-13       0.000000000000e+00 
   47       1.818414468923e-10       1.291174065201e-14       1.342666555651e-13       0.000000000000e+00 
   48       1.845110501501e-10       1.382494738629e-14       1.143118500081e-13       0.000000000000e+00 
   49       1.871892226631e-10       1.477646088250e-14       9.266192509234e-14       0.000000000000e+00 
   50       1.899143531390e-10       1.576685156987e-14       6.925817624924e-14       0.000000000000e+00 
   51       1.926805258394e-10       1.679622544019e-14       4.417350131724e-14       0.000000000000e+00 
   52       1.954698681833e-10       1.786455762792e-14       1.747279092942e-14       0.000000000000e+00 
   53       1.982758422690e-10       1.897200816321e-14      -1.101593717818e-14       0.000000000000e+00 
   54       2.010961284473e-10       2.011875724839e-14      -4.147495212195e-14       0.000000000000e+00 
   55       2.039377146850e-10       2.130494344597e-14      -7.378539438187e-14       0.000000000000e+00 
   56       2.068099892700e-10       2.253071038414e-14      -1.078011711540e-13       0.000000000000e+00 
   57       2.097216732545e-10       2.379636258816e-14      -1.436831150637e-13       0.000000000000e+00 
   58       2.126752624764e-10       2.510205742732e-14      -1.816044014582e-13       0.000000000000e+00 
   59       2.156477017830e-10       2.644714365944e-14      -2.213693515099e-13       0.000000000000e+00 
   60       2.186182508094e-10       2.783069040889e-14      -2.627317410333e-13       0.000000000000e+00 
   61       2.216164521933e-10       2.925184119324e-14      -3.057471431272e-13       0.000000000000e+00 
   62       2.246738162838e-10       3.070968905914e-14      -3.505258535333e-13       0.000000000000e+00 
   63       2.277624078775e-10       3.220329376543e-14      -3.970277021744e-13       0.000000000000e+00 
   64       2.308491099754e-10       3.373173602049e-14      -4.451968107564e-13       0.000000000000e+00 
   65       2.339604869100e-10       3.529446839940e-14      -4.951056115622e-13       0.000000000000e+00 
   66       2.371294340594e-10       3.689102667929e-14      -5.468402834609e-13       0.000000000000e+00 
   67       2.403381723439e-10       3.852095064827e-14      -6.003724680633e-13       0.000000000000e+00 
   68       2.435601599728e-10       4.018380366284e-14      -6.556481029281e-13       0.000000000000e+00 
   69       2.467987033326e-10       4.187930195432e-14      -7.126506270783e-13       0.000000000000e+00 
   70       2.500656706407e-10       4.360720556236e-14      -7.713728375148e-13       0.000000000000e+00 
   71       2.533712419906e-10       4.536700030125e-14      -8.317935937471e-13       0.000000000000e+00 
   72       2.567156953392e-10       4.715699785941e-14      -8.938355184612e-13       0.000000000000e+00 
   73       2.600960476271e-10       4.897506245794e-14      -9.573990952196e-13       0.000000000000e+00 
   74       2.635087583011e-10       5.081913177231e-14      -1.022395947138e-12       0.000000000000e+00 
   75       2.669507618563e-10       5.268805444616e-14      -1.088816585927e-12       0.000000000000e+00 
   76       2.704185531235e-10       5.458090068109e-14      -1.156674899059e-12       0.000000000000e+00 
   77       2.739097836428e-10       5.649667232110e-14      -1.225981321964e-12       0.000000000000e+00 
   78       2.774294743656e-10       5.843416754495e-14      -1.296720621540e-12       0.000000000000e+00 
   79       2.809848637461e-10       6.039209269550e-14      -1.368870428934e-12       0.000000000000e+00 
   80       2.845813337306e-10       6.236906598677e-14      -1.442397120883e-12       0.000000000000e+00 
   81       2.882152787245e-10       6.436350138886e-14      -1.517221332079e-12       0.000000000000e+00 
   82       2.918799998844e-10       6.637370394649e-14      -1.593246508063e-12       0.000000000000e+00 
   83       2.955699169265e-10       6.839795683958e-14      -1.670387467327e-12       0.000000000000e+00 
   84       2.992873273777e-10       7.043469157409e-14      -1.748629168446e-12       0.000000000000e+00 
   85       3.030367178863e-10       7.248234469592e-14      -1.827977559960e-12       0.000000000000e+00 
   86       3.068217710885e-10       7.453928317309e-14      -1.908424748286e-12       0.000000000000e+00 
   87       3.106422916815e-10       7.660372946198e-14      -1.989893679222e-12       0.000000000000e+00 
   88       3.144967787397e-10       7.867382416163e-14      -2.072284747444e-12       0.000000000000e+00 
   89       3.183833764395e-10       8.074769453165e-14      -2.155505585990e-12       0.000000000000e+00 
