# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3008, i.e. number of multipoles equal to 3007
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.382219675949e-10       4.179362691814e-15       3.519375226139e-13       0.000000000000e+00       8.283484250017e-09       4.560258014837e-10      -1.842278073322e-12 
    3       1.306765751320e-10       5.354310546865e-15       3.955073620639e-13       0.000000000000e+00       5.087562167792e-09       3.225349338608e-10      -1.394818347400e-12 
    4       1.235936793969e-10       4.628806959255e-15       3.698023781142e-13       0.000000000000e+00       3.523425430693e-09       2.438132737005e-10      -9.127157545248e-13 
    5       1.182956470737e-10       3.086033923997e-15       3.148739222652e-13       0.000000000000e+00       2.621786415386e-09       1.923691309969e-10      -5.069476086838e-13 
    6       1.146628931075e-10       1.724510926866e-15       2.535633217321e-13       0.000000000000e+00       2.042742676726e-09       1.563744923359e-10      -2.081091114710e-13 
    7       1.122954678138e-10       9.315384716003e-16       1.990688920075e-13       0.000000000000e+00       1.644410766337e-09       1.299781075471e-10      -1.764960685664e-14 
    8       1.109127660279e-10       6.011013000493e-16       1.571595344531e-13       0.000000000000e+00       1.356595047550e-09       1.099771093117e-10       7.941239480528e-14 
    9       1.102665313353e-10       4.824290290247e-16       1.291092320427e-13       0.000000000000e+00       1.140649556839e-09       9.447336595065e-11       1.064370525516e-13 
   10       1.101260975158e-10       4.107511048593e-16       1.135896116669e-13       0.000000000000e+00       9.737522740470e-10       8.219940699619e-11       8.927893657913e-14 
   11       1.104323726104e-10       3.446472738677e-16       1.079387158547e-13       0.000000000000e+00       8.336128325964e-10       7.301390151329e-11       5.203128574583e-14 
   12       1.110339012720e-10       2.997606789722e-16       1.090993750212e-13       0.000000000000e+00       7.285558903948e-10       6.456129851472e-11       1.227602901449e-14 
   13       1.118802328143e-10       2.870889911224e-16       1.143868107588e-13       0.000000000000e+00       6.422893567733e-10       5.769584639435e-11      -1.798985284385e-14 
   14       1.129234560125e-10       2.986646113188e-16       1.217805517679e-13       0.000000000000e+00       5.704998515793e-10       5.171612080403e-11      -3.451232104200e-14 
   15       1.141507761967e-10       3.227443992315e-16       1.299918261117e-13       0.000000000000e+00       5.100629552441e-10       4.668611222290e-11      -3.750070227618e-14 
   16       1.154873589554e-10       3.568045996428e-16       1.383572280839e-13       0.000000000000e+00       4.586668369242e-10       4.235079829648e-11      -3.091264960800e-14 
   17       1.169600666936e-10       4.063744406770e-16       1.466587409857e-13       0.000000000000e+00       4.145686294615e-10       3.856728410053e-11      -1.994034014732e-14 
   18       1.185059835722e-10       4.768839783622e-16       1.551538723309e-13       0.000000000000e+00       3.762908312681e-10       3.526706807346e-11      -9.473372200758e-15 
   19       1.201364514158e-10       5.686594438724e-16       1.640647188954e-13       0.000000000000e+00       3.432159946007e-10       3.240302526282e-11      -2.117030905185e-15 
   20       1.218440945041e-10       6.796995565383e-16       1.735317838135e-13       0.000000000000e+00       3.140838362010e-10       2.986093282732e-11       4.180107238688e-16 
   21       1.236301603178e-10       8.093681333988e-16       1.835068948356e-13       0.000000000000e+00       2.884364327674e-10       2.759463799300e-11      -1.297450478335e-15 
   22       1.254685909355e-10       9.571779467078e-16       1.938028166169e-13       0.000000000000e+00       2.656565530531e-10       2.554694170172e-11      -5.510004160473e-15 
   23       1.273657379012e-10       1.123298440027e-15       2.040971369507e-13       0.000000000000e+00       2.454394758099e-10       2.370945702562e-11      -1.047327376421e-14 
   24       1.293158369125e-10       1.307945819907e-15       2.139775859541e-13       0.000000000000e+00       2.273238472963e-10       2.206574953350e-11      -1.433121647762e-14 
   25       1.313136891681e-10       1.511338299212e-15       2.231353347820e-13       0.000000000000e+00       2.110640952214e-10       2.059351909087e-11      -1.626969967726e-14 
   26       1.333416479084e-10       1.733849902562e-15       2.313052892515e-13       0.000000000000e+00       1.963421628027e-10       1.925577197330e-11      -1.595585582429e-14 
   27       1.354092997370e-10       1.977111335943e-15       2.384161954290e-13       0.000000000000e+00       1.830818154071e-10       1.804325525077e-11      -1.390098315049e-14 
   28       1.375193107089e-10       2.243377025945e-15       2.444806812176e-13       0.000000000000e+00       1.711224495658e-10       1.694063892708e-11      -1.111009613277e-14 
   29       1.396607458781e-10       2.534925406684e-15       2.495422896785e-13       0.000000000000e+00       1.601737794802e-10       1.592161653395e-11      -8.704462904797e-15 
   30       1.418401905664e-10       2.852848437459e-15       2.536489128481e-13       0.000000000000e+00       1.501754916385e-10       1.498512175750e-11      -7.073272189365e-15 
   31       1.440593444410e-10       3.197772943421e-15       2.568733800355e-13       0.000000000000e+00       1.410534008599e-10       1.413116963539e-11      -6.396908276900e-15 
   32       1.463101453741e-10       3.570272184677e-15       2.592825744122e-13       0.000000000000e+00       1.326632260231e-10       1.335272597389e-11      -6.763008283594e-15 
   33       1.485920663070e-10       3.971284408073e-15       2.607969440523e-13       0.000000000000e+00       1.249593032198e-10       1.264322579285e-11      -7.819282857522e-15 
   34       1.508987491814e-10       4.401838311457e-15       2.612778457418e-13       0.000000000000e+00       1.178734467035e-10       1.199037612130e-11      -8.978100296715e-15 
   35       1.532189147318e-10       4.862925098394e-15       2.605775014748e-13       0.000000000000e+00       1.113002386025e-10       1.137838690051e-11      -9.648673242246e-15 
   36       1.555595303524e-10       5.355440955985e-15       2.585923427847e-13       0.000000000000e+00       1.052226460154e-10       1.080517662300e-11      -9.767753675481e-15 
   37       1.579291906717e-10       5.880218839939e-15       2.552263629262e-13       0.000000000000e+00       9.962164772066e-11       1.027031401382e-11      -9.449075572767e-15 
   38       1.603311496671e-10       6.438038595630e-15       2.503762992126e-13       0.000000000000e+00       9.443825550021e-11       9.770058517455e-12      -8.846570393013e-15 
   39       1.627644042945e-10       7.029621995635e-15       2.439566610422e-13       0.000000000000e+00       8.959479527229e-11       9.299142940301e-12      -8.133743549354e-15 
   40       1.652289741175e-10       7.655625563243e-15       2.359863932999e-13       0.000000000000e+00       8.507644895192e-11       8.857619147004e-12      -7.426136145256e-15 
   41       1.677213314983e-10       8.316638593046e-15       2.265308605502e-13       0.000000000000e+00       8.087134386830e-11       8.445819045811e-12      -6.837384970195e-15 
   42       1.702323092132e-10       9.013179864303e-15       2.156802223300e-13       0.000000000000e+00       7.694622165476e-11       8.062304930187e-12      -6.501678582324e-15 
   43       1.727515590225e-10       9.745743078585e-15       2.035158472665e-13       0.000000000000e+00       7.325874161657e-11       7.704573181540e-12      -6.532301292115e-15 
   44       1.752838278121e-10       1.051495983978e-14       1.899936828989e-13       0.000000000000e+00       6.980323253679e-11       7.371798214231e-12      -6.879055719971e-15 
   45       1.778368747216e-10       1.132148056387e-14       1.750269096082e-13       0.000000000000e+00       6.657617717437e-11       7.062680384611e-12      -7.428349738509e-15 
   46       1.804167294909e-10       1.216592840736e-14       1.585170064232e-13       0.000000000000e+00       6.356247533744e-11       6.774561323303e-12      -8.040465559266e-15 
   47       1.830274850895e-10       1.304889829566e-14       1.403529535736e-13       0.000000000000e+00       6.073454078227e-11       6.503322087715e-12      -8.548029555684e-15 
   48       1.856712861007e-10       1.397088943272e-14       1.204330546844e-13       0.000000000000e+00       5.806079448971e-11       6.244572572411e-12      -8.801758549950e-15 
   49       1.883487738652e-10       1.493208260066e-14       9.873953813421e-14       0.000000000000e+00       5.553608282183e-11       5.997853854465e-12      -8.826517848844e-15 
   50       1.910584105321e-10       1.593249841416e-14       7.528361480327e-14       0.000000000000e+00       5.315828224234e-11       5.763445452395e-12      -8.706625041406e-15 
   51       1.937961017349e-10       1.697205410005e-14       5.008504231460e-14       0.000000000000e+00       5.091923830637e-11       5.541142412122e-12      -8.543274524635e-15 
   52       1.965549992085e-10       1.805055913181e-14       2.317248165062e-14       0.000000000000e+00       4.880434196653e-11       5.330219339985e-12      -8.455419390954e-15 
   53       1.993281660166e-10       1.916782013264e-14      -5.429813402843e-15       0.000000000000e+00       4.679711737221e-11       5.129742944984e-12      -8.549416775246e-15 
   54       2.021178311847e-10       2.032399730231e-14      -3.574676709570e-14       0.000000000000e+00       4.489534555908e-11       4.939686809797e-12      -8.816770222039e-15 
   55       2.049281708192e-10       2.151933203446e-14      -6.781860184467e-14       0.000000000000e+00       4.309834841312e-11       4.760040589856e-12      -9.211629502318e-15 
   56       2.077625781846e-10       2.275404588167e-14      -1.016883903241e-13       0.000000000000e+00       4.140213132855e-11       4.590465721638e-12      -9.679307343879e-15 
   57       2.106235863457e-10       2.402834077148e-14      -1.374022718965e-13       0.000000000000e+00       3.979916963934e-11       4.430274068238e-12      -1.015585161060e-14 
   58       2.135127908102e-10       2.534239922230e-14      -1.750096690438e-13       0.000000000000e+00       3.827819505077e-11       4.278406564923e-12      -1.056761748171e-14 
   59       2.164311631323e-10       2.669626711291e-14      -2.145492070322e-13       0.000000000000e+00       3.682729735000e-11       4.133720062851e-12      -1.084875662022e-14 
   60       2.193802524624e-10       2.808946970871e-14      -2.560021629585e-13       0.000000000000e+00       3.544455573328e-11       3.995974148246e-12      -1.099939916418e-14 
   61       2.223611268104e-10       2.952130668860e-14      -2.993285694847e-13       0.000000000000e+00       3.412950332534e-11       3.865036158362e-12      -1.104025122639e-14 
   62       2.253739438235e-10       3.099095806282e-14      -3.444802983575e-13       0.000000000000e+00       3.287992985980e-11       3.740582448717e-12      -1.099604178344e-14 
   63       2.284178866818e-10       3.249748040779e-14      -3.914007922033e-13       0.000000000000e+00       3.169178049305e-11       3.622087486049e-12      -1.089570221050e-14 
   64       2.314910999931e-10       3.403980310079e-14      -4.400247963222e-13       0.000000000000e+00       3.055905461814e-11       3.508812941274e-12      -1.077254581619e-14 
   65       2.345916076930e-10       3.561684830364e-14      -4.902925146668e-13       0.000000000000e+00       2.947546158867e-11       3.400010639628e-12      -1.065694849842e-14 
   66       2.377204366766e-10       3.722792890534e-14      -5.421961647568e-13       0.000000000000e+00       2.844002273281e-11       3.295605866940e-12      -1.055218576438e-14 
   67       2.408790420595e-10       3.887242837507e-14      -5.957428319795e-13       0.000000000000e+00       2.745247837493e-11       3.195639706047e-12      -1.045378422452e-14 
   68       2.440683475953e-10       4.054968415182e-14      -6.509410481430e-13       0.000000000000e+00       2.651158454409e-11       3.100063115929e-12      -1.035653926596e-14 
   69       2.472887090404e-10       4.225898734060e-14      -7.078009267440e-13       0.000000000000e+00       2.561506093230e-11       3.008732006687e-12      -1.025448482845e-14 
   70       2.505398775174e-10       4.399958240876e-14      -7.663342982367e-13       0.000000000000e+00       2.475953885274e-11       2.921402314521e-12      -1.014086318041e-14 
   71       2.538209628793e-10       4.577066688220e-14      -8.265548453007e-13       0.000000000000e+00       2.394050919794e-11       2.837725076707e-12      -1.000809469485e-14 
   72       2.571310141239e-10       4.757135223193e-14      -8.884690294071e-13       0.000000000000e+00       2.315348229278e-11       2.757340862353e-12      -9.850080837176e-15 
   73       2.604709710304e-10       4.940053851676e-14      -9.520465536014e-13       0.000000000000e+00       2.239784084698e-11       2.680194993761e-12      -9.669692068057e-15 
   74       2.638420226762e-10       5.125701501730e-14      -1.017244448107e-12       0.000000000000e+00       2.167363597232e-11       2.606274213215e-12      -9.472669315533e-15 
   75       2.672450014156e-10       5.313949574415e-14      -1.084015702969e-12       0.000000000000e+00       2.098041685907e-11       2.535510076925e-12      -9.265440768254e-15 
   76       2.706803603316e-10       5.504661824804e-14      -1.152309193079e-12       0.000000000000e+00       2.031720640298e-11       2.467776298403e-12      -9.055144921141e-15 
   77       2.741481506877e-10       5.697694243006e-14      -1.222069603197e-12       0.000000000000e+00       1.968247683235e-11       2.402886091836e-12      -8.849653621044e-15 
   78       2.776479993803e-10       5.892894935179e-14      -1.293237352976e-12       0.000000000000e+00       1.907412533504e-11       2.340589515457e-12      -8.657595112397e-15 
   79       2.811790863901e-10       6.090104004558e-14      -1.365748521988e-12       0.000000000000e+00       1.848944968560e-11       2.280570814927e-12      -8.488377082877e-15 
   80       2.847405909547e-10       6.289158825964e-14      -1.439540372394e-12       0.000000000000e+00       1.792581942667e-11       2.222526671083e-12      -8.349967275228e-15 
   81       2.883331689234e-10       6.489911186018e-14      -1.514569186438e-12       0.000000000000e+00       1.738287727041e-11       2.166422437337e-12      -8.241740744665e-15 
   82       2.919576920080e-10       6.692212916341e-14      -1.590795404354e-12       0.000000000000e+00       1.686067730242e-11       2.112275760642e-12      -8.160426667228e-15 
   83       2.956147881970e-10       6.895910745629e-14      -1.668178330101e-12       0.000000000000e+00       1.635901206872e-11       2.060078489021e-12      -8.102222247358e-15 
   84       2.993048278872e-10       7.100846280558e-14      -1.746676160050e-12       0.000000000000e+00       1.587740108342e-11       2.009795513171e-12      -8.062774236993e-15 
   85       3.030279100161e-10       7.306855986679e-14      -1.826246011664e-12       0.000000000000e+00       1.541507933638e-11       1.961363608069e-12      -8.037160454680e-15 
   86       3.067838481936e-10       7.513771169319e-14      -1.906843952186e-12       0.000000000000e+00       1.497098580093e-11       1.914690274572e-12      -8.019871304674e-15 
   87       3.105721568341e-10       7.721417954477e-14      -1.988425027319e-12       0.000000000000e+00       1.454375194156e-11       1.869652581021e-12      -8.004791296046e-15 
   88       3.143920372886e-10       7.929617269726e-14      -2.070943289915e-12       0.000000000000e+00       1.413169022156e-11       1.826096004849e-12      -7.985180561784e-15 
   89       3.182426868439e-10       8.138187290894e-14      -2.154350320086e-12       0.000000000000e+00       1.373319600610e-11       1.783872654074e-12      -7.955121502337e-15 
   90       3.221243114998e-10       8.346951263604e-14      -2.238590456992e-12       0.000000000000e+00       1.334805057417e-11       1.742965328126e-12      -7.914159071175e-15 
   91       3.260372472527e-10       8.555730879196e-14      -2.323604868445e-12       0.000000000000e+00       1.297630228414e-11       1.703380874426e-12      -7.863357735863e-15 
   92       3.299816424654e-10       8.764343935754e-14      -2.409332998890e-12       0.000000000000e+00       1.261786614922e-11       1.665111980439e-12      -7.803904572974e-15 
   93       3.339574488370e-10       8.972604355947e-14      -2.495712575488e-12       0.000000000000e+00       1.227251853833e-11       1.628136605238e-12      -7.737112736621e-15 
   94       3.379644123711e-10       9.180322204871e-14      -2.582679614204e-12       0.000000000000e+00       1.193989187696e-11       1.592417411069e-12      -7.664424926995e-15 
   95       3.420020643451e-10       9.387303707881e-14      -2.670168425886e-12       0.000000000000e+00       1.161946934804e-11       1.557901194917e-12      -7.587416858897e-15 
   96       3.460697122794e-10       9.593351268437e-14      -2.758111622349e-12       0.000000000000e+00       1.131057959284e-11       1.524518320069e-12      -7.507800730273e-15 
   97       3.501664309057e-10       9.798263485942e-14      -2.846440122463e-12       0.000000000000e+00       1.101239141184e-11       1.492182147680e-12      -7.427428690747e-15 
   98       3.542910531365e-10       1.000183517358e-13      -2.935083158232e-12       0.000000000000e+00       1.072390846558e-11       1.460788468336e-12      -7.348296310155e-15 
   99       3.584424608626e-10       1.020386204405e-13      -3.023969670052e-12       0.000000000000e+00       1.044419763310e-11       1.430240306303e-12      -7.272142441960e-15 
  100       3.626205238654e-10       1.040415548555e-13      -3.113032704812e-12       0.000000000000e+00       1.017312244815e-11       1.400527569785e-12      -7.199176647319e-15 
  101       3.668252777348e-10       1.060252992155e-13      -3.202205654946e-12       0.000000000000e+00       9.910704187023e-12       1.371657678942e-12      -7.129177126547e-15 
  102       3.710566305772e-10       1.079879840309e-13      -3.291420947469e-12       0.000000000000e+00       9.656895043168e-12       1.343630942097e-12      -7.061876837923e-15 
  103       3.753143576176e-10       1.099277268322e-13      -3.380610066901e-12       0.000000000000e+00       9.411575660292e-12       1.316440294850e-12      -6.996962074034e-15 
  104       3.795980958039e-10       1.118426329141e-13      -3.469703578188e-12       0.000000000000e+00       9.174552665443e-12       1.290071039192e-12      -6.934071038135e-15 
  105       3.839073384093e-10       1.137307960795e-13      -3.558631149627e-12       0.000000000000e+00       8.945556202099e-12       1.264500582615e-12      -6.872792420491e-15 
  106       3.882414296362e-10       1.155902993840e-13      -3.647321575782e-12       0.000000000000e+00       8.724237463259e-12       1.239698177225e-12      -6.812663974733e-15 
  107       3.925995592191e-10       1.174192158800e-13      -3.735702800416e-12       0.000000000000e+00       8.510166224522e-12       1.215624658853e-12      -6.753171094209e-15 
  108       3.969807570279e-10       1.192156093607e-13      -3.823701939402e-12       0.000000000000e+00       8.302828377181e-12       1.192232186170e-12      -6.693745388329e-15 
  109       4.013838876710e-10       1.209775351047e-13      -3.911245303656e-12       0.000000000000e+00       8.101623461308e-12       1.169463979797e-12      -6.633763258924e-15 
  110       4.058078414217e-10       1.227030889180e-13      -3.998258927080e-12       0.000000000000e+00       7.906000037326e-12       1.147267473920e-12      -6.572672721144e-15 
  111       4.102521463461e-10       1.243905597984e-13      -4.084670178036e-12       0.000000000000e+00       7.715886783804e-12       1.125636243804e-12      -6.510395367224e-15 
  112       4.147164247791e-10       1.260382982926e-13      -4.170406397965e-12       0.000000000000e+00       7.531312210837e-12       1.104572980824e-12      -6.446973420416e-15 
  113       4.192002005763e-10       1.276446711495e-13      -4.255394442361e-12       0.000000000000e+00       7.352270653901e-12       1.084076432025e-12      -6.382445927599e-15 
  114       4.237028956474e-10       1.292080625388e-13      -4.339560708654e-12       0.000000000000e+00       7.178721161619e-12       1.064141271056e-12      -6.316848596011e-15 
  115       4.282238264883e-10       1.307268752703e-13      -4.422831164099e-12       0.000000000000e+00       7.010586383522e-12       1.044757969099e-12      -6.250213629998e-15 
  116       4.327622007143e-10       1.321995320122e-13      -4.505131373661e-12       0.000000000000e+00       6.847751457817e-12       1.025912665802e-12      -6.182569567744e-15 
  117       4.373171135923e-10       1.336244765106e-13      -4.586386527897e-12       0.000000000000e+00       6.690062899153e-12       1.007587040205e-12      -6.113941118017e-15 
  118       4.418875445739e-10       1.350001748079e-13      -4.666521470849e-12       0.000000000000e+00       6.537327486383e-12       9.897581816741e-13      -6.044348996905e-15 
  119       4.464723538281e-10       1.363251164621e-13      -4.745460727921e-12       0.000000000000e+00       6.389311150333e-12       9.723984608316e-13      -5.973809764559e-15 
  120       4.510702787738e-10       1.375978157651e-13      -4.823128533771e-12       0.000000000000e+00       6.245737861564e-12       9.554754004849e-13      -5.902335661929e-15 
  121       4.556799306123e-10       1.388168129622e-13      -4.899448860195e-12       0.000000000000e+00       6.106288518137e-12       9.389515465583e-13      -5.829934447504e-15 
  122       4.602997908608e-10       1.399806754705e-13      -4.974345444012e-12       0.000000000000e+00       5.970599833380e-12       9.227843390229e-13      -5.756609234054e-15 
  123       4.649283946818e-10       1.410880466880e-13      -5.047742784985e-12       0.000000000000e+00       5.838342738697e-12       9.069360738739e-13      -5.682386947344e-15 
  124       4.695649121070e-10       1.421377961735e-13      -5.119569209999e-12       0.000000000000e+00       5.709470159891e-12       8.914053598557e-13      -5.607407751979e-15 
  125       4.742086273628e-10       1.431288890968e-13      -5.189754215096e-12       0.000000000000e+00       5.583995742300e-12       8.761990491306e-13      -5.531845639132e-15 
  126       4.788587560755e-10       1.440603417712e-13      -5.258227562117e-12       0.000000000000e+00       5.461916403705e-12       8.613224207513e-13      -5.455880786033e-15 
  127       4.835144432744e-10       1.449312232466e-13      -5.324919314222e-12       0.000000000000e+00       5.343211847705e-12       8.467791309860e-13      -5.379699617903e-15 
  128       4.881747613937e-10       1.457406569031e-13      -5.389759871412e-12       0.000000000000e+00       5.227844077092e-12       8.325711636436e-13      -5.303494869885e-15 
  129       4.928387082754e-10       1.464878220441e-13      -5.452680006038e-12       0.000000000000e+00       5.115756907223e-12       8.186987803986e-13      -5.227465648978e-15 
  130       4.975052051713e-10       1.471719554895e-13      -5.513610898326e-12       0.000000000000e+00       5.006875479403e-12       8.051604711161e-13      -5.151817495966e-15 
