# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.382224409689e-10       4.179595994815e-15       3.519375188480e-13       2.333027803029e-19       8.283484250017e-09       4.560258014837e-10      -1.842278073322e-12 
    3       1.306775195787e-10       5.354777138329e-15       3.955073452619e-13       4.665892774534e-19       5.087562167792e-09       3.225349338608e-10      -1.394818347400e-12 
    4       1.235952484243e-10       4.629584587682e-15       3.698023297619e-13       7.776176677026e-19       3.523425430693e-09       2.438132737005e-10      -9.127157545248e-13 
    5       1.182979912950e-10       3.087200340931e-15       3.148738119069e-13       1.166380024274e-18       2.621786415386e-09       1.923691309969e-10      -5.069476086838e-13 
    6       1.146661596622e-10       1.726143905343e-15       2.535631042514e-13       1.632877600473e-18       2.042742676726e-09       1.563744923359e-10      -2.081091114710e-13 
    7       1.122997998763e-10       9.337158342245e-16       1.990685050762e-13       2.177127294798e-18       1.644410766337e-09       1.299781075471e-10      -1.764960685664e-14 
    8       1.109183024161e-10       6.039009566213e-16       1.571588961786e-13       2.799168495435e-18       1.356595047550e-09       1.099771093117e-10       7.941239480528e-14 
    9       1.102734062245e-10       4.859290227832e-16       1.291082388394e-13       3.499069881828e-18       1.140649556839e-09       9.447336595065e-11       1.064370525516e-13 
   10       1.101344402616e-10       4.150296655229e-16       1.135881363751e-13       4.276935748923e-18       9.737522740470e-10       8.219940699619e-11       8.927893657913e-14 
   11       1.104423076808e-10       3.497828748744e-16       1.079366061265e-13       5.132911429463e-18       8.336128325964e-10       7.301390151329e-11       5.203128574583e-14 
   12       1.110455482831e-10       3.058320956369e-16       1.090964519887e-13       6.067187421071e-18       7.285558903948e-10       6.456129851472e-11       1.227602901449e-14 
   13       1.118937066630e-10       2.941753559333e-16       1.143828679960e-13       7.080001876686e-18       6.422893567733e-10       5.769584639435e-11      -1.798985284385e-14 
   14       1.129388670951e-10       3.068454622967e-16       1.217753545549e-13       8.171641187041e-18       5.704998515793e-10       5.171612080403e-11      -3.451232104200e-14 
   15       1.141682306988e-10       3.320997172211e-16       1.299851110038e-13       9.342438469257e-18       5.100629552441e-10       4.668611222290e-11      -3.750070227618e-14 
   16       1.155069591993e-10       3.674148306003e-16       1.383487027850e-13       1.059276987257e-17       4.586668369242e-10       4.235079829648e-11      -3.091264960800e-14 
   17       1.169819115243e-10       4.183204994670e-16       1.466480845226e-13       1.192304871632e-17       4.145686294615e-10       3.856728410053e-11      -1.994034014732e-14 
   18       1.185301687728e-10       4.902472333779e-16       1.551407355181e-13       1.333371876545e-17       3.762908312681e-10       3.526706807346e-11      -9.473372200758e-15 
   19       1.201630700853e-10       5.835216679194e-16       1.640487250882e-13       1.482523858369e-17       3.432159946007e-10       3.240302526282e-11      -2.117030905185e-15 
   20       1.218732375105e-10       6.961428760620e-16       1.735125299160e-13       1.639808302356e-17       3.140838362010e-10       2.986093282732e-11       4.180107238688e-16 
   21       1.236619166011e-10       8.274749267831e-16       1.834839525631e-13       1.805271467450e-17       2.884364327674e-10       2.759463799300e-11      -1.297450478335e-15 
   22       1.255030478945e-10       9.770307441284e-16       1.937757340137e-13       1.978958673892e-17       2.656565530531e-10       2.554694170172e-11      -5.510004160473e-15 
   23       1.274029815777e-10       1.144979786549e-15       2.040654400625e-13       2.160911456284e-17       2.454394758099e-10       2.370945702562e-11      -1.047327376421e-14 
   24       1.293559522740e-10       1.331538137066e-15       2.139407807843e-13       2.351167879153e-17       2.273238472963e-10       2.206574953350e-11      -1.433121647762e-14 
   25       1.313567601814e-10       1.536923723412e-15       2.230929093544e-13       2.549760008995e-17       2.110640952214e-10       2.059351909087e-11      -1.626969967726e-14 
   26       1.333877576722e-10       1.761510126152e-15       2.312567159211e-13       2.756714080973e-17       1.963421628027e-10       1.925577197330e-11      -1.595585582429e-14 
   27       1.354585302762e-10       2.006927470786e-15       2.383609330741e-13       2.972048353369e-17       1.830818154071e-10       1.804325525077e-11      -1.390098315049e-14 
   28       1.375717429983e-10       2.275429434021e-15       2.444181779117e-13       3.195773479665e-17       1.711224495658e-10       1.694063892708e-11      -1.111009613277e-14 
   29       1.397164598423e-10       2.569293545254e-15       2.494719855204e-13       3.427892516518e-17       1.601737794802e-10       1.592161653395e-11      -8.704462904797e-15 
   30       1.418992646548e-10       2.889610820061e-15       2.535702423792e-13       3.668401215837e-17       1.501754916385e-10       1.498512175750e-11      -7.073272189365e-15 
   31       1.441218554293e-10       3.237007014954e-15       2.567857752630e-13       3.917286638616e-17       1.410534008599e-10       1.413116963539e-11      -6.396908276900e-15 
   32       1.463761681902e-10       3.612054213037e-15       2.591854680307e-13       4.174527693153e-17       1.326632260231e-10       1.335272597389e-11      -6.763008283594e-15 
   33       1.486616736442e-10       4.015689566864e-15       2.606897722593e-13       4.440099805391e-17       1.249593032198e-10       1.264322579285e-11      -7.819282857522e-15 
   34       1.509720112012e-10       4.448940635411e-15       2.611600516385e-13       4.713970965092e-17       1.178734467035e-10       1.199037612130e-11      -8.978100296715e-15 
   35       1.532958988293e-10       4.912797465233e-15       2.604485386633e-13       4.996103487776e-17       1.113002386025e-10       1.137838690051e-11      -9.648673242246e-15 
